Name,STARmeter,Known for
Jennifer Hudson Winnie Mandela  Winnie Mandela  See fewer,Members only,Dreamgirls (2006)
Terrence Howard Nelson Mandela  Nelson Mandela  See fewer,Members only,Hustle & Flow (2005)
Elias Koteas Major de Vries  Major de Vries  See fewer,Top 5000,The Thin Red Line (1998)
Wendy Crewson Mary Botha  Mary Botha  See fewer,Top 5000,Air Force One (1997)
Aubrey Poo Peter Magubane  Peter Magubane  See fewer,Members only,Red Room (I) (2019)
Unathi Kapela Winnie (12 & 13)  Winnie (12 & 13)  See fewer,Members only,Winnie Mandela (2011)
Fezeka Ndlazilwana Nancy (8)  Nancy (8)  See fewer,Members only,Winnie Mandela (2011)
"Talitha Ndima Nancy (10, 20, 28 & 30)  Nancy (10, 20, 28 & 30)  See fewer",Members only,Society (2007)
Professor Mavuso Columbus Madikizela  Columbus Madikizela  See fewer,Members only,Orion's Key (1996)
Nomsa Xaba Makhulu  Makhulu  See fewer,Members only,Wild at Heart (2006)
Bongi Mdongwe Gertrude (as Bongi Mbongwe)  Gertrude (as Bongi Mbongwe)  See fewer,Members only,Mama Jack (2005)
Tom Fairfoot BBC Reporter  BBC Reporter  See fewer,Members only,Revolt (2017)
Jonathan Rands Judge de Wet  Judge de Wet  See fewer,Members only,Big Game (1988)
Jennifer Steyn School Inspector  School Inspector  See fewer,Members only,Freefall (1994)
Andre Van Der Merwe School Inspector  School Inspector  See fewer,Members only,Machine Gun Preacher (2011)
Shaeleen Tobin Jan Hofmeyer Woman  Jan Hofmeyer Woman  See fewer,Members only,Liefling (2010)
Sylvaine Strike Jan Hofmeyer Woman  Jan Hofmeyer Woman  See fewer,Members only,District 9 (2009)
Corrine Broomberg Jan Hofmeyer White Lecturer (as Corinne Broomberg)  Jan Hofmeyer White Lecturer (as Corinne Broomberg)  See fewer,Members only,Hond se Dinges (2009)
Angelique Pretorius Marcia  Marcia  See fewer,Members only,Black Sails (2014)
Terri Ann Eckstein Pam (as Terri-Ann Eckstein)  Pam (as Terri-Ann Eckstein)  See fewer,Members only,Skin (I) (2008)
Letisha Singh Harriet  Harriet  See fewer,Members only,Mandela: Long Walk to Freedom (2013)
Christine le Brocq John Orr's Sales Assistant  John Orr's Sales Assistant  See fewer,Members only,Hector and the Search for Happiness (2014)
David Clatworthy John Orr's Manager  John Orr's Manager  See fewer,Members only,District 9 (2009)
Lawrence Joffe Kliptown Police Captain 1954  Kliptown Police Captain 1954  See fewer,Members only,Black Sails (2014)
Hlomla Dandala Oliver Tambo  Oliver Tambo  See fewer,Members only,Lord of War (2005)
