Title,LW_x,Weekend Gross_y,Total Gross_y,Week #_x,TW_x,Weekend Gross_x
Jumanji: Welcome to the Jungle,1,"$37,233,653 ","$245,606,319 ",4,1,"$28,101,972 "
The Post,15,"$1,698,027 ","$3,847,683 ",4,2,"$19,361,968 "
The Greatest Showman,4,"$13,770,951 ","$76,875,323 ",4,4,"$12,467,471 "
Star Wars: The Last Jedi,3,"$23,728,944 ","$572,691,546 ",5,6,"$11,854,481 "
Pitch Perfect 3,5,"$10,298,345 ","$86,055,435 ",4,9,"$5,994,400 "
Darkest Hour,8,"$6,050,225 ","$28,086,332 ",8,10,"$4,462,740 "
Molly's Game,7,"$6,856,578 ","$14,073,138 ",3,11,"$3,872,307 "
Ferdinand,6,"$7,697,773 ","$70,466,891 ",5,12,"$3,529,153 "
"I, Tonya",12,"$2,445,878 ","$5,419,565 ",6,13,"$3,362,738 "
Coco,9,"$5,382,651 ","$191,925,612 ",8,14,"$3,331,878 "
The Shape of Water,11,"$3,139,084 ","$21,692,548 ",7,15,"$2,835,459 "
"Three Billboards Outside Ebbing, Missouri",20,"$705,188 ","$25,392,902 ",10,16,"$2,518,115 "
Lady Bird,16,"$1,572,031 ","$34,128,122 ",11,17,"$1,768,536 "
All the Money in the World,10,"$3,571,226 ","$20,153,135 ",3,18,"$1,223,993 "
Wonder,13,"$2,381,646 ","$126,638,732 ",9,19,"$1,210,294 "
Phantom Thread,28,"$240,240 ","$947,190 ",3,20,"$1,147,815 "
Call Me by Your Name,18,"$747,129 ","$6,073,058 ",8,21,"$710,773 "
The Disaster Artist,19,"$746,034 ","$19,431,782 ",7,22,"$461,484 "
Marshall,62,"$5,470 ","$9,480,742 ",14,23,"$410,928 "
Thor: Ragnarok,22,"$514,940 ","$312,459,726 ",11,24,"$370,959 "
Downsizing,14,"$2,202,311 ","$22,932,429 ",4,25,"$302,309 "
Hostiles,27,"$268,373 ","$393,565 ",4,26,"$273,262 "
Murder on the Orient Express (2017),24,"$450,509 ","$101,555,644 ",10,27,"$257,346 "
Justice League,21,"$556,851 ","$227,032,490 ",9,28,"$255,287 "
Daddy's Home 2,23,"$473,493 ","$102,934,995 ",10,30,"$199,245 "
Along with the Gods: The Two Worlds,26,"$277,065 ","$1,118,190 ",4,31,"$193,290 "
Ex-File 3 (Qian Ren 3),29,"$177,110 ","$518,184 ",3,34,"$112,424 "
The Star,30,"$140,805 ","$40,448,404 ",9,35,"$105,721 "
Father Figures,17,"$1,262,474 ","$16,772,934 ",4,36,"$97,380 "
Blade Runner 2049,31,"$100,018 ","$91,800,042 ",15,37,"$70,014 "
The Florida Project,36,"$63,094 ","$5,412,776 ",15,38,"$53,267 "
Loving Vincent,35,"$72,135 ","$6,388,510 ",17,40,"$42,594 "
Film Stars Don't Die in Liverpool,44,"$22,866 ","$82,300 ",3,42,"$32,905 "
Only The Brave,39,"$37,116 ","$18,255,680 ",13,45,"$23,346 "
Happy End,50,"$13,699 ","$83,292 ",4,46,"$22,845 "
Youth (2017),33,"$80,501 ","$1,814,247 ",5,47,"$20,837 "
The Square,40,"$32,634 ","$1,284,672 ",12,49,"$20,700 "
In the Fade,51,"$12,764 ","$36,522 ",3,50,"$19,715 "
Jane (2017),42,"$25,151 ","$1,544,602 ",13,51,"$18,999 "
A Beautiful Planet,43,"$24,499 ","$12,952,818 ",90,53,"$15,577 "
"Roman J. Israel, Esq.",41,"$27,636 ","$11,887,893 ",9,54,"$12,773 "
Faces Places,47,"$20,160 ","$640,750 ",15,55,"$11,566 "
My Friend Dahmer,59,"$6,186 ","$1,310,242 ",11,57,"$9,652 "
Island of Lemurs: Madagascar (IMAX),54,"$9,491 ","$11,085,909 ",198,62,"$6,709 "
Big Sonia,57,"$7,017 ","$129,869 ",9,63,"$6,512 "
Wonder Wheel,46,"$20,871 ","$1,363,787 ",7,64,"$6,113 "
The Breadwinner,56,"$7,747 ","$233,919 ",9,65,"$5,791 "
The Man Who Invented Christmas,45,"$21,255 ","$5,652,907 ",8,66,"$5,556 "
Same Kind of Different as Me,58,"$6,368 ","$6,410,279 ",13,72,"$3,476 "
The Other Side of Hope,49,"$14,076 ","$163,529 ",7,74,"$3,302 "
Just Getting Started,61,"$5,699 ","$6,058,383 ",6,77,"$1,994 "
1945,66,"$3,832 ","$258,392 ",11,78,"$1,822 "
Hubble 3D,67,"$3,553 ","$51,984,404 ",409,79,"$1,810 "
Thelma,65,"$4,127 ","$137,420 ",10,81,"$1,652 "
