year,week,Rank,LW,Release,Distributor,Gross,%± LW,Theaters,Change,Average,Total Gross,Weeks
2015,17,1,1,Furious 7,Universal Pictures,"$17,821,440",-38.9%,3808,-156,"$4,680","$320,081,575",4
2015,17,2,2,Paul Blart: Mall Cop 2,Sony Pictures Releasing,"$14,776,726",-37.8%,3633,-,"$4,067","$43,224,910",2
2015,17,3,-,The Age of Adaline,Lionsgate,"$13,203,458",-,2991,-,"$4,414","$13,203,458",1
2015,17,4,4,Home,Fox,"$8,005,648",-24.5%,3311,-177,"$2,417","$153,489,719",5
2015,17,5,3,Unfriended,Universal Pictures,"$6,161,710",-61.1%,2775,+36,"$2,220","$25,075,475",2
2015,17,6,15,Ex Machina,A24,"$5,349,500",+569.8%,1255,"+1,216","$4,262","$6,827,930",3
2015,17,7,5,The Longest Ride,Fox,"$4,258,861",-39.3%,3140,-231,"$1,356","$30,291,700",3
2015,17,8,6,Get Hard,Warner Bros.,"$3,761,030",-23.9%,2276,-379,"$1,652","$83,922,270",5
2015,17,9,8,Monkey Kingdom,Walt Disney Studios Motion Pictures,"$3,441,840",-24.8%,2012,-,"$1,710","$10,148,952",2
2015,17,10,7,Woman in Gold,The Weinstein Company,"$3,364,853",-26.8%,1981,-30,"$1,698","$21,498,632",4
2015,17,11,9,Insurgent,Lionsgate,"$3,003,100",-26.7%,2086,-456,"$1,439","$124,813,139",6
2015,17,12,10,Cinderella,Walt Disney Studios Motion Pictures,"$2,765,566",-31.3%,2019,-395,"$1,369","$190,559,996",7
2015,17,13,-,Little Boy,Open Road Films (II),"$2,750,356",-,1045,-,"$2,631","$2,750,356",1
2015,17,14,-,The Water Diviner,Warner Bros.,"$1,220,335",-,320,-,"$3,813","$1,220,335",1
2015,17,15,11,True Story,Fox Searchlight Pictures,"$1,142,540",-41.4%,856,+25,"$1,334","$3,807,508",2
2015,17,16,12,While We're Young,A24,"$1,090,736",-24.2%,762,+49,"$1,431","$5,699,465",5
2015,17,17,16,Kingsman: The Secret Service,Fox,"$554,747",-18.3%,425,-131,"$1,305","$126,475,263",11
2015,17,18,13,Danny Collins,Bleecker Street Media,"$440,729",-50.8%,396,-252,"$1,112","$4,729,318",6
2015,17,19,18,American Sniper,Warner Bros.,"$374,599",-1.3%,403,-42,$929,"$348,295,276",18
2015,17,20,14,It Follows,RADiUS-TWC,"$372,851",-54.5%,401,-540,$929,"$14,030,820",7
2015,17,21,20,The SpongeBob Movie: Sponge Out of Water,Paramount Pictures,"$286,066",-20%,287,-41,$996,"$162,085,091",12
2015,17,22,-,Brotherly Love,Freestyle Releasing,"$246,902",-,200,-,"$1,234","$246,902",1
2015,17,23,23,Clouds of Sils Maria,IFC Films,"$219,047",+42%,69,+42,"$3,174","$526,159",3
2015,17,24,17,Child 44,Lionsgate,"$203,649",-67.2%,510,-,$399,"$1,086,376",2
2015,17,25,21,The Second Best Exotic Marigold Hotel,Fox Searchlight Pictures,"$181,319",-38.9%,242,-108,$749,"$32,415,405",8
2015,17,26,19,Do You Believe?,Pure Flix Entertainment,"$163,634",-55.5%,259,-190,$631,"$12,528,727",6
2015,17,27,22,"McFarland, USA",Walt Disney Studios Motion Pictures,"$141,814",-30.8%,182,-89,$779,"$43,183,712",10
2015,17,28,35,Dior and I,The Orchard,"$139,865",+202.4%,45,+42,"$3,108","$278,532",3
2015,17,29,24,Run All Night,Warner Bros.,"$117,254",-21.9%,218,-37,$537,"$26,362,803",7
2015,17,30,27,Wild Tales,Sony Pictures Classics,"$111,000",-5.9%,58,-23,"$1,913","$2,546,000",10
2015,17,31,28,The Duff,Lionsgate,"$108,988",+9.5%,164,-24,$664,"$33,890,756",10
2015,17,32,26,Chappie,Sony Pictures Releasing,"$100,043",-26.9%,137,-52,$730,"$31,487,119",8
2015,17,33,29,Paddington,-,"$98,077",+2.7%,171,-22,$573,"$75,611,904",15
2015,17,34,32,The Salt of the Earth,Sony Pictures Classics,"$97,100",+19.1%,47,+7,"$2,065","$522,900",5
2015,17,35,25,Focus,Warner Bros.,"$90,398",-39.3%,188,-74,$480,"$53,781,080",9
2015,17,36,41,The Lazarus Effect,Relativity Media,"$83,744",+108.2%,138,+64,$606,"$25,587,650",9
2015,17,37,31,What We Do in the Shadows,-,"$69,830",-21.7%,65,-22,"$1,074","$3,206,525",11
2015,17,38,30,Fifty Shades of Grey,Universal Pictures,"$67,795",-28.7%,149,-24,$455,"$166,074,900",11
2015,17,39,33,Jupiter Ascending,Warner Bros.,"$60,871",-20.5%,122,-27,$498,"$47,322,527",12
2015,17,40,34,Still Alice,Sony Pictures Classics,"$59,387",+14.9%,101,-19,$587,"$18,656,400",15
2015,17,41,-,Kung Fu Jungle,Well Go USA Entertainment,"$58,664",-,28,-,"$2,095","$58,664",1
2015,17,42,36,The Gunman,Open Road Films (II),"$51,265",+11.2%,100,-21,$512,"$10,640,645",6
2015,17,43,-,Blackbird,Image Entertainment,"$45,834",-,13,-,"$3,525","$45,834",1
2015,17,44,-,Adult Beginners,RADiUS-TWC,"$36,657",-,10,-,"$3,665","$36,657",1
2015,17,45,55,The Wrecking Crew!,Magnolia Pictures,"$35,502",+51.4%,35,-7,"$1,014","$663,451",7
2015,17,46,38,The Imitation Game,The Weinstein Company,"$34,496",-16.6%,60,-15,$574,"$91,074,486",22
2015,17,47,40,"Kumiko, the Treasure Hunter",Amplify,"$34,318",-15.4%,34,-9,"$1,009","$543,894",6
2015,17,48,39,Night at the Museum: Secret of the Tomb,Fox,"$34,017",-16.6%,88,-20,$386,"$113,569,080",19
2015,17,49,37,Seymour: An Introduction,IFC Films,"$33,600",-26.8%,37,-5,$908,"$540,800",7
2015,17,50,45,Island of Lemurs: Madagascar,Warner Bros.,"$29,529",-5.6%,35,-,$843,"$9,393,527",56
2015,17,51,67,The Hunting Ground,RADiUS-TWC,"$29,281",+224.3%,14,-11,"$2,091","$300,360",9
2015,17,52,60,Félix & Meira,Oscilloscope,"$26,400",+76%,4,+3,"$6,600","$50,100",2
2015,17,53,51,Taken 3,Fox,"$25,509",-5%,35,-14,$728,"$89,204,731",16
2015,17,54,-,Twenty,CJ Entertainment,"$24,770",-,16,-,"$1,548","$106,409",2
2015,17,55,-,A Matter of Faith,Five & Two Pictures,"$21,972",-,17,-,"$1,292","$486,538",28
2015,17,56,42,Freetown,Purdie Distribution,"$21,443",-43.6%,26,-17,$824,"$340,951",3
2015,17,57,52,Big Hero 6,Walt Disney Studios Motion Pictures,"$19,579",-25.2%,58,-17,$337,"$222,431,643",25
2015,17,58,59,Roar,Drafthouse Films,"$19,399",+28.8%,11,+6,"$1,763","$44,152",2
2015,17,59,-,Don't Think I've Forgotten: Cambodia's Lost Rock & Roll,Argot Pictures,"$19,206",-,3,-,"$6,402","$25,394",1
2015,17,60,50,Desert Dancer,Relativity Media,"$17,112",-36.8%,36,+9,$475,"$119,689",3
2015,17,61,49,Black or White,Relativity Media,"$15,482",-46.3%,41,-26,$377,"$21,548,294",13
2015,17,62,54,5 to 7,IFC Films,"$15,300",-38.3%,17,-9,$900,"$116,400",4
2015,17,63,62,Black Souls,Alchemy,"$14,760",+11.3%,9,+2,"$1,640","$45,201",3
2015,17,64,46,1915,-,"$13,300",-56.3%,10,+2,"$1,330","$43,800",2
2015,17,65,56,Gett: The Trial of Viviane Amsalem,Music Box Films,"$13,273",-38.3%,22,-5,$603,"$932,612",11
2015,17,66,44,Let's Get Married,China Lion Film Distribution,"$12,702",-60.3%,6,-13,"$2,117","$447,648",4
2015,17,67,57,Penguins of Madagascar,Fox,"$12,135",-38.1%,34,-12,$356,"$83,340,274",22
2015,17,68,53,White God,Magnolia Pictures,"$11,580",-54.4%,27,-2,$428,"$222,913",5
2015,17,69,84,She's Beautiful When She's Angry,International Film Circuit,"$9,261",+307.1%,8,+1,"$1,157","$349,363",21
2015,17,70,66,A Most Violent Year,A24,"$8,824",-3.1%,17,-,$519,"$5,749,134",17
2015,17,71,71,Tangerines,The Samuel Goldwyn Company,"$8,806",+70%,5,+4,"$1,761","$17,060",2
2015,17,72,-,The Principle,Rocky Mountain Pictures,"$8,665",-,3,-,"$2,888","$86,172",27
2015,17,73,-,Just Before I Go,Anchor Bay Films,"$8,129",-,2,-,"$4,064","$8,129",1
2015,17,74,-,Who Took Johnny,Rumur Releasing,"$7,666",-,1,-,"$7,666","$7,666",1
2015,17,75,102,The Tales of Hoffmann,Rialto Pictures,"$7,037","+1,375.3%",2,+1,"$3,518","$81,874",7
2015,17,76,64,About Elly2015 Re-release,The Cinema Guild,"$6,820",-44.2%,3,+2,"$2,273","$48,878",3
2015,17,77,68,Man from Reno,-,"$6,279",-24%,4,-3,"$1,569","$83,664",5
2015,17,78,70,Deli Man,Cohen Media Group,"$5,462",-0.7%,5,-1,"$1,092","$479,422",9
2015,17,79,65,'71,Roadside Attractions,"$5,342",-48.8%,14,-14,$381,"$1,263,230",9
2015,17,80,-,Misery Loves Comedy,Tribeca Film,"$5,300",-,1,-,"$5,300","$5,300",1
2015,17,81,69,Wild,Fox Searchlight Pictures,"$5,050",-25%,10,-2,$505,"$37,872,084",21
2015,17,82,-,Emptying the Skies,Music Box Films,"$4,818",-,2,-,"$2,409","$8,127",1
2015,17,83,72,An Honest Liar,Abramorama,"$4,527",-12%,4,-9,"$1,131","$165,782",8
2015,17,84,-,Forbidden Games,Rialto Pictures,"$4,316",-,1,-,"$4,316","$4,316",1
2015,17,85,81,Song of the Sea,GKIDS,"$3,994",+35.8%,9,-,$443,"$841,366",19
2015,17,86,74,Full Moon in Paris,Film Movement,"$3,897",-22.7%,1,-,"$3,897","$11,884",2
2015,17,87,75,Citizenfour,RADiUS-TWC,"$3,837",-23.6%,5,+1,$767,"$2,798,808",27
2015,17,88,77,Above and Beyond,International Film Circuit,"$3,830",-5.4%,5,+1,$766,"$283,928",13
2015,17,89,73,Salut d'Amour,CJ Entertainment,"$3,217",-37%,1,-,"$3,217","$22,480",3
2015,17,90,76,Lost River,Warner Bros.,"$2,971",-32.9%,3,-,$990,"$43,282",3
2015,17,91,93,After the Ball,Freestyle Releasing,"$2,969",+184.4%,11,+9,$269,"$160,165",9
2015,17,92,86,Ballet 422,Magnolia Pictures,"$2,849",+42.3%,8,+3,$356,"$324,683",12
2015,17,93,63,Beyond the Mask,GathrFilms,"$2,580",-79.6%,3,-10,$860,"$655,011",3
2015,17,94,82,Timbuktu,Cohen Media Group,"$2,461",-12.1%,6,+1,$410,"$1,058,060",13
2015,17,95,78,The Mafia Kills Only in Summer2015 Re-release,Distrib Films,"$2,170",-41.6%,2,-3,"$1,085","$28,647",8
2015,17,96,85,Legends from the Sky,-,"$2,127",-3.3%,6,-,$354,"$88,299",13
2015,17,97,-,The Passionate Thief,Rialto Pictures,"$1,962",-,1,-,"$1,962","$30,791",21
2015,17,98,47,Beyond the Reach,Roadside Attractions,"$1,763",-94.2%,8,-19,$220,"$44,577",2
2015,17,99,91,Awake: The Life of Yogananda,-,"$1,698",+51.6%,3,+2,$566,"$1,454,383",29
2015,17,100,106,Girlhood,Strand Releasing,"$1,431",+343%,3,+2,$477,"$56,566",13
2015,17,101,96,Wa-shoku Dream: Beyond Sushi,Under The Milky Way,"$1,136",+19.8%,1,-,"$1,136","$11,132",3
2015,17,102,87,3 Hearts,Cohen Media Group,"$1,122",-34%,4,+2,$280,"$154,528",7
2015,17,103,104,Ida,Music Box Films,$796,+93.7%,3,-,$265,"$3,825,354",52
2015,17,104,92,Lost and Love,China Lion Film Distribution,$785,-27%,1,-,$785,"$186,908",6
2015,17,105,110,Jauja2014 Re-release,The Cinema Guild,$672,+214%,2,+1,$336,"$39,322",6
2015,17,106,90,The Dead Lands,Magnolia Pictures,$649,-51.1%,2,-1,$324,"$3,688",2
2015,17,107,-,Revenge of the Mekons,Music Box Films,$552,-,1,-,$552,"$11,568",26
2015,17,108,80,Antarctic Edge: 70° South,First Run,$437,-86%,1,-,$437,"$4,914",2
2015,17,109,101,Amour Fou,Film Movement,$425,-30.4%,2,-,$212,"$12,723",6
2015,17,110,97,"Like Sunday, Like Rain",Monterey Media,$372,-57.1%,1,-1,$372,"$27,623",8
2015,17,111,95,Sagrada: The Mystery of Creation2014 Re-release,First Run,$290,-70.7%,1,-2,$290,"$58,755",33
2015,17,112,100,Serena,Magnolia Pictures,$287,-55%,2,-2,$143,"$174,448",5
2015,17,113,88,Cupcakes,Strand Releasing,$225,-86.4%,1,-1,$225,"$8,904",5
2015,17,114,105,Spring,Drafthouse Films,$207,-42.8%,1,-1,$207,"$47,423",6
2015,17,115,103,The Living,Monterey Media,$203,-52%,2,+1,$101,"$5,009",4
2015,17,116,108,Kill Me Three Times,Magnolia Pictures,$101,-57.7%,1,-1,$101,"$22,828",3
2015,17,117,-,Lou! Journal infime,Distrib Films,$88,-,1,-,$88,$88,1
