Dates,Year,Week,Top 10 Gross,%¡À LW,Overall Gross,%¡À LW.1,Releases,#1 Release,link,lYear,lWeek,lTop 10 Gross,lOverall,lTop,lGross,lTGross,lWeeks,wT10Gross,wOverallGross,wRelease
Oct 25-27,2019,43,89886989,-30.80%,101696881,-26.20%,52,Joker,/weekend/2019W43/?ref_=bo_wey_table_1,2019,42,129825817,137773594,Maleficent: Mistress of Evil,36948713,36948713,1,94296281.1818182,109963444.72727272,124.63636363636364
Oct 18-20,2019,42,129825817,-2.30%,137773594,-2.50%,108,Maleficent: Mistress of Evil,/weekend/2019W42/?ref_=bo_wey_table_2,2019,41,152832766,161043554,Joker,64207166,201935953,1,108711994.16666669,123144908.41666669,124.58333333333331
Oct 11-14Columbus Day wknd,2019,41,152832766,-20.90%,161043554,-20.90%,59,Joker,/weekend/2019W41/occasion/us_columbusday_weekend/?ref_=bo_wey_table_4,2019,40,142713298,150554448,Joker,96202337,96202337,1,107863677.45,121973098.7,97.6
Oct 4-6,2019,40,142713298,71.20%,150554448,59.30%,107,Joker,/weekend/2019W40/?ref_=bo_wey_table_5,2019,39,83354126,94527125,Abominable,20612100,20612100,1,119561053.375,132403535.3125,110.1875
Sep 27-29,2019,39,83354126,-26.50%,94527125,-23.40%,111,Abominable,/weekend/2019W39/?ref_=bo_wey_table_6,2019,38,113373910,123431530,Downton Abbey,31033665,31033665,1,91542753.0,105592491.41666669,128.25
Sep 20-22,2019,38,113373910,16.80%,123431530,11.40%,106,Downton Abbey,/weekend/2019W38/?ref_=bo_wey_table_7,2019,37,97031904,110793852,It Chapter Two,39606550,152675074,2,86914069.66666667,102326128.08333331,127.83333333333331
Sep 13-15,2019,37,97031904,-21.40%,110793852,-20%,106,It Chapter Two,/weekend/2019W37/?ref_=bo_wey_table_8,2019,36,123496912,138423528,It Chapter Two,91062152,91062152,1,81451524.66666667,99568524.66666669,125.58333333333331
Sep 6-8,2019,36,123496912,93.20%,138423528,51%,92,It Chapter Two,/weekend/2019W36/?ref_=bo_wey_table_9,2019,35,84263777,120764143,Angel Has Fallen,15375039,44489260,1,79852053.5625,105529132.125,113.125
Aug 30-Sep 2Labor Day wknd,2019,35,84263777,-12.50%,120764143,-6.60%,82,Angel Has Fallen,/weekend/2019W35/occasion/us_laborday_weekend/?ref_=bo_wey_table_11,2019,34,87899112,108764687,Angel Has Fallen,21380987,21380987,1,83528402.8,115279308.05,109.8
Aug 23-25,2019,34,87899112,-13.70%,108764687,-9.60%,98,Angel Has Fallen,/weekend/2019W34/?ref_=bo_wey_table_12,2019,33,101857634,120307107,Good Boys,21402605,21402605,1,86155898.91666667,108205408.83333331,114.25
Aug 16-18,2019,33,101857634,-16%,120307107,-8.90%,101,Good Boys,/weekend/2019W33/?ref_=bo_wey_table_13,2019,32,121235199,132104260,Fast & Furious Presents: Hobbs & Shaw,25265795,108379575,2,115311023.75,135326532.33333334,112.91666666666669
Aug 9-11,2019,32,121235199,-15.70%,132104260,-11.30%,92,Fast & Furious Presents: Hobbs & Shaw,/weekend/2019W32/?ref_=bo_wey_table_14,2019,31,143893312,148998871,Fast & Furious Presents: Hobbs & Shaw,60038950,60038950,1,133108853.25,150177606.16666666,109.83333333333331
Aug 2-4,2019,31,143893312,-7.50%,148998871,-8.50%,97,Fast & Furious Presents: Hobbs & Shaw,/weekend/2019W31/?ref_=bo_wey_table_15,2019,30,155622904,162868015,The Lion King,76621553,351873087,2,134064684.33333331,149076426.08333334,108.58333333333331
Jul 26-28,2019,30,155622904,-38.60%,162868015,-38.30%,97,The Lion King,/weekend/2019W30/?ref_=bo_wey_table_16,2019,29,253574574,263882516,The Lion King,191770759,191770759,1,148763158.08333334,162250811.58333334,109.91666666666669
Jul 19-21,2019,29,253574574,122.20%,263882516,107.90%,102,The Lion King,/weekend/2019W29/?ref_=bo_wey_table_17,2019,28,114124922,126932873,Spider-Man: Far from Home,45353359,274582664,2,182475369.5833333,195040168.16666663,108.0
Jul 12-14,2019,28,114124922,-34.50%,126932873,-30.90%,103,Spider-Man: Far from Home,/weekend/2019W28/?ref_=bo_wey_table_18,2019,27,174209668,183814074,Spider-Man: Far from Home,92579212,185063062,1,166993485.33333334,179117028.41666666,110.0
Jul 5-7,2019,27,174209668,25.50%,183814074,21.10%,96,Spider-Man: Far from Home,/weekend/2019W27/?ref_=bo_wey_table_19,2019,26,138825078,151841304,Toy Story 4,59700331,238690140,2,174799565.14285713,186610260.7142857,101.5
Jun 28-30,2019,26,138825078,-26.90%,151841304,-25.50%,96,Toy Story 4,/weekend/2019W26/?ref_=bo_wey_table_20,2019,25,189899923,203833169,Toy Story 4,120908065,120908065,1,179093226.14285713,192114475.2857143,106.21428571428572
Jun 21-23,2019,25,189899923,53.60%,203833169,50%,102,Toy Story 4,/weekend/2019W25/?ref_=bo_wey_table_21,2019,24,123601448,135914033,Men in Black: International,30035838,30035838,1,183005245.3333333,193777360.25,109.0
Jun 14-16,2019,24,123601448,-21.90%,135914033,-18%,100,Men in Black: International,/weekend/2019W24/?ref_=bo_wey_table_22,2019,23,158327825,165733750,The Secret Life of Pets 2,46652680,47577680,1,170617422.83333334,180717244.41666663,110.5
Jun 7-9,2019,23,158327825,-5.50%,165733750,-4.80%,101,The Secret Life of Pets 2,/weekend/2019W23/?ref_=bo_wey_table_23,2019,22,167597113,174090953,Godzilla: King of the Monsters,47776293,47776293,1,141521272.91666666,149983262.5,110.75
May 31-Jun 2,2019,22,167597113,-3.20%,174090953,-3.90%,106,Godzilla: King of the Monsters,/weekend/2019W22/?ref_=bo_wey_table_24,2019,21,220383863,230819376,Aladdin,116805962,116805962,1,155722830.2857143,163468887.57142857,109.0
May 24-27Memorial Day wknd,2019,21,220383863,1%,230819376,1.70%,97,Aladdin,/weekend/2019W21/occasion/us_memorialday_weekend/?ref_=bo_wey_table_25,2019,20,139901024,148365208,John Wick: Chapter 3 - Parabellum,56818067,56818067,1,190812263.0909091,200275911.4090909,106.95454545454544
May 17-19,2019,20,139901024,-12.70%,148365208,-11.80%,115,John Wick: Chapter 3 - Parabellum,/weekend/2019W20/?ref_=bo_wey_table_27,2019,19,160271263,168253370,Avengers: Endgame,63299904,723745643,3,145121413.0,154218433.5,116.33333333333331
May 10-12,2019,19,160271263,-17.30%,168253370,-15.80%,113,Avengers: Endgame,/weekend/2019W19/?ref_=bo_wey_table_28,2019,18,193910218,199858498,Avengers: Endgame,147383211,621277849,2,145570531.16666666,156305886.66666666,118.58333333333331
May 3-5,2019,18,193910218,-51.10%,199858498,-50.30%,113,Avengers: Endgame,/weekend/2019W18/?ref_=bo_wey_table_29,2019,17,396469872,402087399,Avengers: Endgame,357115007,357115007,1,165862059.58333334,176843492.41666666,117.58333333333331
Apr 26-28,2019,17,396469872,316.10%,402087399,268.20%,114,Avengers: Endgame,/weekend/2019W17/?ref_=bo_wey_table_30,2019,16,106099675,121560823,The Curse of La Llorona,28605664,28605664,1,137268690.41666666,152115054.33333334,120.5
Apr 19-22Easter wknd,2019,16,106099675,-18.90%,121560823,-21.50%,74,The Curse of La Llorona,/weekend/2019W16/occasion/easter_weekend/?ref_=bo_wey_table_31,2019,15,100437182,111173940,Shazam!,24453514,94226527,2,110617216.86666666,126178234.8,107.6
Apr 12-14,2019,15,100437182,-27.20%,111173940,-24.30%,119,Shazam!,/weekend/2019W15/?ref_=bo_wey_table_33,2019,14,137908217,146937939,Shazam!,53505326,56830326,1,120117122.42857143,132811945.5,105.35714285714286
Apr 5-7,2019,14,137908217,6.50%,146937939,6.60%,117,Shazam!,/weekend/2019W14/?ref_=bo_wey_table_34,2019,13,129484146,137830324,Dumbo,45990748,45990748,1,144115983.0,155905612.33333334,101.33333333333331
Mar 29-31,2019,13,129484146,-7%,137830324,-7.40%,120,Dumbo,/weekend/2019W13/?ref_=bo_wey_table_35,2019,12,139284316,148803456,Us,71117625,71117625,1,146184773.73333332,159291299.6,101.13333333333334
Mar 22-24,2019,12,139284316,10.20%,148803456,6.40%,117,Us,/weekend/2019W12/?ref_=bo_wey_table_36,2019,11,126418468,139804590,Captain Marvel,67988130,264884063,2,126389274.23076925,140871121.69230768,109.0
Mar 15-17,2019,11,126418468,-36.20%,139804590,-33.60%,122,Captain Marvel,/weekend/2019W11/?ref_=bo_wey_table_37,2019,10,198063125,210564349,Captain Marvel,153433423,153433423,1,119224647.16666669,134725146.91666666,110.75
Mar 8-10,2019,10,198063125,109.90%,210564349,81.60%,107,Captain Marvel,/weekend/2019W10/?ref_=bo_wey_table_38,2019,9,94364496,115975923,How to Train Your Dragon: The Hidden World,30028540,97678815,2,127718984.25,144766037.66666666,110.16666666666669
Mar 1-3,2019,9,94364496,-14.70%,115975923,-9.40%,114,How to Train Your Dragon: The Hidden World,/weekend/2019W09/?ref_=bo_wey_table_39,2019,8,110669509,127999939,How to Train Your Dragon: The Hidden World,55022245,57522245,1,107330506.75,128180072.83333331,107.16666666666669
Feb 22-24,2019,8,110669509,5.20%,127999939,1.40%,88,How to Train Your Dragon: The Hidden World,/weekend/2019W08/?ref_=bo_wey_table_40,2019,7,126415385,152447001,Alita: Battle Angel,33534100,42250332,1,109227960.33333331,129538191.08333331,101.75
Feb 15-18Presidents' Day wknd,2019,7,126415385,-60.90%,152447001,-55.90%,86,Alita: Battle Angel,/weekend/2019W07/occasion/us_presidentsday_weekend/?ref_=bo_wey_table_42,2019,6,95027517,115811896,The Lego Movie 2: The Second Part,34115335,34715335,1,172818117.95833334,197978896.2083333,93.54166666666669
Feb 8-10,2019,6,95027517,82.40%,115811896,57.60%,93,The Lego Movie 2: The Second Part,/weekend/2019W06/?ref_=bo_wey_table_43,2019,5,52087190,73462968,Glass,9548795,88668895,3,116846154.83333331,139394977.08333334,101.16666666666669
Feb 1-3,2019,5,52087190,-29.40%,73462968,-29%,85,Glass,/weekend/2019W05/?ref_=bo_wey_table_44,2019,4,73819238,103503701,Glass,18884440,73425575,2,81159020.0,105663109.41666669,98.58333333333331
Jan 25-27,2019,4,73819238,-32.60%,103503701,-20.20%,82,Glass,/weekend/2019W04/?ref_=bo_wey_table_45,2019,3,134433589,162367073,Glass,46504950,46504950,1,101773826.66666669,131358061.16666669,95.5
Jan 18-21MLK wknd,2019,3,134433589,-15.30%,162367073,-17.10%,69,Glass,/weekend/2019W03/occasion/us_mlkday_weekend/?ref_=bo_wey_table_46,2019,2,96775974,119640159,The Upside,20355000,20355000,1,144106715.15,173497607.55,85.9
Jan 11-13,2019,2,96775974,-18.70%,119640159,-13.80%,86,The Upside,/weekend/2019W02/?ref_=bo_wey_table_48,2019,1,119007739,138872261,Aquaman,31003280,260024160,3,122621792.8125,149859356.3125,88.1875
Jan 4-6,2019,1,119007739,-28.20%,138872261,-26.20%,89,Aquaman,/weekend/2019W01/?ref_=bo_wey_table_49,2018,52,254547234,288846349,Aquaman,78503988,215437603,1,132775766.41666669,155875732.66666666,88.75
"Dec 28-Jan 1, 2019New Year's long wknd",2018,52,254547234,12.60%,288846349,14%,53,Aquaman,/weekend/2018W52/occasion/us_newyear_weekend/?ref_=bo_wey_table_1,2018,51,260363074,291020519,Aquaman,100707869,105407869,1,196334086.94117647,222615748.0,76.29411764705883
Dec 21-25Christmas long wknd,2018,51,260363074,10.10%,291020519,12.10%,60,Aquaman,/weekend/2018W51/occasion/us_christmas_weekend/?ref_=bo_wey_table_3,2018,50,101640559,120463418,Spider-Man: Into the Spider-Verse,35363376,35363376,1,164322845.4,180913443.46666667,81.2
Dec 14-16,2018,50,101640559,37.60%,120463418,40.40%,100,Spider-Man: Into the Spider-Verse,/weekend/2018W50/?ref_=bo_wey_table_5,2018,49,73877715,85822147,Ralph Breaks the Internet,16253831,140971716,3,108613725.63636364,120640989.54545456,102.63636363636364
Dec 7-9,2018,49,73877715,-30.40%,85822147,-28.30%,100,Ralph Breaks the Internet,/weekend/2018W49/?ref_=bo_wey_table_6,2018,48,106190738,119701329,Ralph Breaks the Internet,25566945,119105178,2,77289676.66666667,88695051.61111109,109.44444444444444
Nov 30-Dec 2,2018,48,106190738,-47.90%,119701329,-44.70%,104,Ralph Breaks the Internet,/weekend/2018W48/?ref_=bo_wey_table_7,2018,47,298630062,314861631,Ralph Breaks the Internet,84750405,84750405,1,171499002.80555555,185343632.11111107,83.6111111111111
Nov 21-25Thanksgiving 5-Day,2018,47,298630062,16.90%,314861631,17.70%,64,Ralph Breaks the Internet,/weekend/2018W46/occasion/us_thanksgiving_5/?ref_=bo_wey_table_10,2018,46,161437498,174705199,Fantastic Beasts: The Crimes of Grindelwald,62163104,62163104,1,202695349.6086957,214789448.3478261,89.7391304347826
Nov 16-18,2018,46,161437498,5.80%,174705199,3.80%,107,Fantastic Beasts: The Crimes of Grindelwald,/weekend/2018W46/?ref_=bo_wey_table_11,2018,45,152580543,168344121,The Grinch,67572855,67572855,1,150439485.8181818,162818344.45454547,116.63636363636364
Nov 9-11,2018,45,152580543,17.90%,168344121,15.40%,113,The Grinch,/weekend/2018W45/?ref_=bo_wey_table_12,2018,44,129384786,145822119,Bohemian Rhapsody,51061119,51061119,1,142606271.54545453,156661743.36363637,121.72727272727272
Nov 2-4,2018,44,129384786,42.20%,145822119,38%,119,Bohemian Rhapsody,/weekend/2018W44/?ref_=bo_wey_table_13,2018,43,90992092,105667363,Halloween,31419070,126075470,2,96893133.45454544,112459731.63636364,123.9090909090909
Oct 26-28,2018,43,90992092,-41.70%,105667363,-36.40%,119,Halloween,/weekend/2018W43/?ref_=bo_wey_table_14,2018,42,155990869,166083062,Halloween,76221545,76221545,1,94296281.1818182,109963444.72727272,124.63636363636364
Oct 19-21,2018,42,155990869,23.70%,166083062,21.50%,111,Halloween,/weekend/2018W42/?ref_=bo_wey_table_15,2018,41,126136778,136738283,Venom,35006107,142108258,2,108711994.16666669,123144908.41666669,124.58333333333331
Oct 12-14,2018,41,126136778,-25.40%,136738283,-23.60%,126,Venom,/weekend/2018W41/?ref_=bo_wey_table_16,2018,40,193103101,203648461,Venom,89887099,89887099,1,107863677.45,121973098.7,97.6
Oct 5-8Columbus Day wknd,2018,40,193103101,72.20%,203648461,68.20%,74,Venom,/weekend/2018W40/occasion/us_columbusday_weekend/?ref_=bo_wey_table_17,2018,39,92141186,106442479,Night School,27257615,27257615,1,119561053.375,132403535.3125,110.1875
Sep 28-30,2018,39,92141186,17.70%,106442479,15.30%,130,Night School,/weekend/2018W39/?ref_=bo_wey_table_19,2018,38,78315568,92316508,The House with a Clock in Its Walls,26608020,26608020,1,91542753.0,105592491.41666669,128.25
Sep 21-23,2018,38,78315568,-16.70%,92316508,-15.40%,124,The House with a Clock in Its Walls,/weekend/2018W38/?ref_=bo_wey_table_20,2018,37,94001600,109133476,The Predator,24632284,24632284,1,86914069.66666667,102326128.08333331,127.83333333333331
Sep 14-16,2018,37,94001600,-11.60%,109133476,-9.90%,130,The Predator,/weekend/2018W37/?ref_=bo_wey_table_21,2018,36,106333196,121114594,The Nun,53807379,53807379,1,81451524.66666667,99568524.66666669,125.58333333333331
