Release,Distributor,year_x,week,Rank_x,LW,Gross_x,%± LW,Theaters,Change,Average,Total Gross,Weeks,year_y,Rank_y,Gross_y,Max Th,Opening,% of Total,Open Th,Open,Close,link,t100,t500,t5k,mem
Countdown,STX Entertainment,2019,43,5,-,"$9,009,000",-,2675,-,-,"$9,009,000",1,2019,89,"$10,348,237",2675,"$8,865,082",85.7%,2675,Oct 25,-,/release/rl386434561/?ref_=bo_yld_table_89,0,1,9,30
Black and Blue,Screen Gems,2019,43,6,-,"$8,325,000",-,2062,-,-,"$8,325,000",1,2019,90,"$10,301,093",2062,"$8,376,846",81.3%,2062,Oct 25,-,/release/rl2097579521/?ref_=bo_yld_table_90,0,1,5,27
The Current War: Director's Cut,101 Studios,2019,43,9,-,"$2,730,200",-,1022,-,-,"$2,730,200",1,2019,130,"$3,263,838",1022,"$2,633,717",80.7%,1022,Oct 25,-,/release/rl2566948353/?ref_=bo_yld_table_130,0,4,3,75
Jesus Is King,IMAX,2019,43,16,-,"$830,000",-,372,-,-,"$830,000",1,2019,186,"$928,000",372,"$830,000",89.4%,372,Oct 25,-,/release/rl4094395905/?ref_=bo_yld_table_186,0,1,1,1
Western Stars,Warner Bros.,2019,43,17,-,"$560,000",-,345,-,-,"$560,000",1,2019,174,"$1,141,397",345,"$1,001,282",87.7%,345,Oct 25,-,/release/rl1745585665/?ref_=bo_yld_table_174,0,0,1,0
No Safe Spaces,Atlas Distribution Company,2019,43,35,-,"$45,236",-,1,-,-,"$45,236",1,2019,451,"$53,388",1,"$45,236",84.7%,1,Oct 25,-,/release/rl4120674817/?ref_=bo_yld_table_451,0,0,2,18
Frankie,Sony Pictures Classics,2019,43,38,-,"$22,941",-,4,-,-,"$22,941",1,2019,539,"$19,435",4,"$19,435",100%,4,Oct 25,-,/release/rl2802353665/?ref_=bo_yld_table_539,0,1,3,17
Making Waves: The Art of Cinematic Sound,Matson Films,2019,43,40,-,"$12,775",-,3,-,-,"$12,775",1,2019,572,"$12,348",3,"$12,348",100%,3,Oct 25,-,/release/rl403408385/?ref_=bo_yld_table_572,0,2,7,35
Going Attractions: The Definitive Story of the American Drive-in Movie2019 re-release,-,2019,43,53,-,$490,-,2,-,-,$490,1,2019,655,"$1,535",2,$535,34.9%,2,Oct 24,-,/release/rl3600581121/?ref_=bo_yld_table_655,0,0,1,24
Maleficent: Mistress of Evil,Walt Disney Studios Motion Pictures,2019,42,1,-,"$36,948,713",-,3790,-,"$9,749","$36,948,713",1,2019,32,"$69,662,872",3790,"$36,948,713",53%,3790,Oct 18,-,/release/rl939755009/?ref_=bo_yld_table_32,3,4,11,100
Zombieland: Double Tap,Sony Pictures Releasing,2019,42,3,-,"$26,803,104",-,3468,-,"$7,728","$26,803,104",1,2019,42,"$49,797,723",3468,"$26,803,104",53.8%,3468,Oct 18,-,/release/rl201819649/?ref_=bo_yld_table_42,3,4,4,35
The Lighthouse,A24,2019,42,15,-,"$427,797",-,8,-,"$53,474","$427,797",1,2019,119,"$4,363,174",586,"$427,797",9.8%,8,Oct 18,-,/release/rl3305670145/?ref_=bo_yld_table_119,1,1,0,1
Jojo Rabbit,Fox Searchlight Pictures,2019,42,17,-,"$349,555",-,5,-,"$69,911","$349,555",1,2019,153,"$1,702,500",55,"$349,555",20.5%,5,Oct 18,-,/release/rl2030601729/?ref_=bo_yld_table_153,2,0,6,22
The Captain,Well Go USA Entertainment,2019,42,18,-,"$324,769",-,47,-,"$6,909","$324,769",1,2019,222,"$580,196",47,"$324,769",56%,47,Oct 18,-,/release/rl2299233793/?ref_=bo_yld_table_222,0,0,0,28
Jay and Silent Bob Reboot,Saban Films,2019,42,28,-,"$93,520",-,1,-,"$93,520","$1,104,825",1,2019,158,"$1,568,465",788,"$93,520",6%,1,Oct 15,-,/release/rl3406333441/?ref_=bo_yld_table_158,0,7,18,89
The Cave,National Geographic Entertainment,2019,42,48,-,"$21,185",-,2,-,"$10,592","$21,185",1,2019,504,"$28,753",2,"$21,185",73.7%,2,Oct 18,-,/release/rl4077618689/?ref_=bo_yld_table_504,0,0,0,2
Immortal Hero,Freestyle Releasing,2019,42,50,-,"$20,629",-,12,-,"$1,719","$20,629",1,2019,485,"$35,827",12,"$20,629",57.6%,12,Oct 18,-,/release/rl4027287041/?ref_=bo_yld_table_485,0,0,0,14
Greener Grass,IFC Films,2019,42,57,-,"$9,305",-,2,-,"$4,652","$9,305",1,2019,521,"$24,559",17,"$9,305",37.9%,2,Oct 18,-,/release/rl2416477697/?ref_=bo_yld_table_521,0,0,3,42
