Year,Week,Releases,wT10Gross,wRelease,lGross,lTGross,lWeeks,lTop 10 Gross,lOverall,year_x,week,Release,Distributor,Theaters,t100,t500,t5k,mem,Gross_x
2019,43,52,94296281.1818182,124.63636363636364,36948713,36948713,1,129825817,137773594,2019,43,Countdown,STX Entertainment,2675,0,1,9,30,9009000
2019,43,52,94296281.1818182,124.63636363636364,36948713,36948713,1,129825817,137773594,2019,43,Black and Blue,Screen Gems,2062,0,1,5,27,8325000
2019,43,52,94296281.1818182,124.63636363636364,36948713,36948713,1,129825817,137773594,2019,43,The Current War: Director's Cut,101 Studios,1022,0,4,3,75,2730200
2019,43,52,94296281.1818182,124.63636363636364,36948713,36948713,1,129825817,137773594,2019,43,Jesus Is King,IMAX,372,0,1,1,1,830000
2019,43,52,94296281.1818182,124.63636363636364,36948713,36948713,1,129825817,137773594,2019,43,Western Stars,Warner Bros.,345,0,0,1,0,560000
2019,43,52,94296281.1818182,124.63636363636364,36948713,36948713,1,129825817,137773594,2019,43,No Safe Spaces,Atlas Distribution Company,1,0,0,2,18,45236
2019,43,52,94296281.1818182,124.63636363636364,36948713,36948713,1,129825817,137773594,2019,43,Frankie,Sony Pictures Classics,4,0,1,3,17,22941
2019,43,52,94296281.1818182,124.63636363636364,36948713,36948713,1,129825817,137773594,2019,43,Making Waves: The Art of Cinematic Sound,Matson Films,3,0,2,7,35,12775
2019,43,52,94296281.1818182,124.63636363636364,36948713,36948713,1,129825817,137773594,2019,43,Going Attractions: The Definitive Story of the American Drive-in Movie2019 re-release,-,2,0,0,1,24,490
2019,42,108,108711994.16666669,124.58333333333331,64207166,201935953,1,152832766,161043554,2019,42,Maleficent: Mistress of Evil,Walt Disney Studios Motion Pictures,3790,3,4,11,100,36948713
2019,42,108,108711994.16666669,124.58333333333331,64207166,201935953,1,152832766,161043554,2019,42,Zombieland: Double Tap,Sony Pictures Releasing,3468,3,4,4,35,26803104
2019,42,108,108711994.16666669,124.58333333333331,64207166,201935953,1,152832766,161043554,2019,42,The Lighthouse,A24,8,1,1,0,1,427797
2019,42,108,108711994.16666669,124.58333333333331,64207166,201935953,1,152832766,161043554,2019,42,Jojo Rabbit,Fox Searchlight Pictures,5,2,0,6,22,349555
2019,42,108,108711994.16666669,124.58333333333331,64207166,201935953,1,152832766,161043554,2019,42,The Captain,Well Go USA Entertainment,47,0,0,0,28,324769
2019,42,108,108711994.16666669,124.58333333333331,64207166,201935953,1,152832766,161043554,2019,42,Jay and Silent Bob Reboot,Saban Films,1,0,7,18,89,93520
