TW,LW,Title,Studio,Weekend Gross,% Change,Theater Count,Change,Average,Total Gross,Budget*,Week #,ith year,ith week
2,N,Insidious: The Last Key,Uni.,29581355,-,3116,-,9493,29581355,10,1,2018,1
34,N,Goldbuster,WGUSA,79180,-,24,-,3299,79180,-,1,2018,1
38,N,Namiya,CL,39584,-,21,-,1885,39584,-,1,2018,1
53,N,Django,UTMW,11722,-,4,-,2931,11722,-,1,2018,1
60,N,In Between,FM,5888,-,2,-,2944,11498,-,1,2018,1
64,N,Bob Le Flambeur (2017 re-release),Rialto,4623,-,1,-,4623,4623,-,1,2018,1
69,N,In the Land of Pomegranates,FRun,3072,-,1,-,3072,3072,-,1,2018,1
3,N,The Commuter,LGF,13701452,-,2892,-,4738,13701452,-,1,2018,2
7,N,Paddington 2,WB,11001961,-,3702,-,2972,11001961,-,1,2018,2
8,N,Proud Mary,SGem,9959053,-,2125,-,4687,9959053,14,1,2018,2
29,N,Condorito: La Pelicula,LGF,248456,-,153,-,1624,248456,-,1,2018,2
32,N,The Opera House,Fathom,191466,-,604,-,317,191466,-,1,2018,2
33,N,The Treasure of the Sierra Madre (70th anniversary),Fathom,144074,-,631,-,228,144074,-,1,2018,2
39,N,Mukkabaaz,Eros,47808,-,19,-,2516,47808,-,1,2018,2
41,N,Parchi,ADC,34437,-,39,-,883,34437,-,1,2018,2
44,N,The Insult,Cohen,24600,-,3,-,8200,24600,-,1,2018,2
48,N,Wastelander,Indic.,20768,-,22,-,944,20768,-,1,2018,2
59,N,Memories of Underdevelopment (2017 re-release),Jan.,8244,-,1,-,8244,8224,-,1,2018,2
67,N,My Art,FM,5538,-,1,-,5538,5538,-,1,2018,2
68,N,Freak Show,IFC,4809,-,1,-,4809,4809,-,1,2018,2
71,N,Vazante,MBox,3489,-,1,-,3489,3489,-,1,2018,2
73,N,Humor Me,Shout!,3342,-,1,-,3342,3342,-,1,2018,2
2,N,12 Strong,WB,15815025,-,3002,-,5268,15815025,-,1,2018,3
3,N,Den of Thieves,STX,15206108,-,2432,-,6253,15206108,-,1,2018,3
10,N,Forever My Girl,RAtt.,4245630,-,1114,-,3811,4245630,3.5,1,2018,3
26,N,Mary and the Witch's Flower,GK,348475,-,161,-,2164,1515939,-,1,2018,3
27,N,Bolshoi Ballet 2017/2018: Romeo and Juliet,Fathom,256025,-,361,-,709,256025,-,1,2018,3
37,N,The Final Year,Magn.,67971,-,35,-,1942,67971,-,1,2018,3
48,N,The Road Movie,Osci.,17175,-,19,-,904,17175,-,1,2018,3
58,N,Beuys,KL,9084,-,2,-,4542,11613,-,1,2018,3
60,N,Ridge Runners,Indic.,8015,-,7,-,1145,8015,-,1,2018,3
