TW,LW,Title,Studio,Weekend Gross,% Change,Theater Count,Change,Average,Total Gross,Budget*,Week #,ith year,ith week,last ith week
1,2,Jumanji: Welcome to the Jungle,Sony,"$37,233,653 ",-25.60%,3801,36,"$9,796 ","$245,606,319 ",$90 ,3,2018,1,0
3,1,Star Wars: The Last Jedi,BV,"$23,728,944 ",-54.80%,4232,-,"$5,607 ","$572,691,546 ",$317 ,4,2018,1,0
4,4,The Greatest Showman,Fox,"$13,770,951 ",-11.30%,3342,26,"$4,121 ","$76,875,323 ",$84 ,3,2018,1,0
5,3,Pitch Perfect 3,Uni.,"$10,298,345 ",-38.70%,3458,-10,"$2,978 ","$86,055,435 ",$45 ,3,2018,1,0
6,5,Ferdinand,Fox,"$7,697,773 ",-32.40%,3156,-181,"$2,439 ","$70,466,891 ",$111 ,4,2018,1,0
7,13,Molly's Game,STX,"$6,856,578 ",191.80%,1608,"1,337","$4,264 ","$14,073,138 ",-,2,2018,1,0
8,8,Darkest Hour,Focus,"$6,050,225 ",10.30%,1733,790,"$3,491 ","$28,086,332 ",-,7,2018,1,0
9,6,Coco,BV,"$5,382,651 ",-27.90%,1894,-210,"$2,842 ","$191,925,612 ",-,7,2018,1,0
10,7,All the Money in the World,TriS,"$3,571,226 ",-36.10%,2123,49,"$1,682 ","$20,153,135 ",-,2,2018,1,0
11,11,The Shape of Water,FoxS,"$3,139,084 ",-11.10%,804,48,"$3,904 ","$21,692,548 ",-,6,2018,1,0
12,22,"I, Tonya",Neon,"$2,445,878 ",273.10%,256,207,"$9,554 ","$5,419,565 ",-,5,2018,1,0
13,12,Wonder,LGF,"$2,381,646 ",-26.70%,1258,65,"$1,893 ","$126,638,732 ",-,8,2018,1,0
14,9,Downsizing,Par.,"$2,202,311 ",-53.20%,2020,-648,"$1,090 ","$22,932,429 ",$68 ,3,2018,1,0
15,24,The Post,Fox,"$1,698,027 ",202.60%,36,27,"$47,167 ","$3,847,683 ",$50 ,3,2018,1,0
16,14,Lady Bird,A24,"$1,572,031 ",7.20%,562,170,"$2,797 ","$34,128,122 ",-,10,2018,1,0
17,10,Father Figures,WB,"$1,262,474 ",-67.00%,1717,-1185,$735 ,"$16,772,934 ",-,3,2018,1,0
18,20,Call Me by Your Name,SPC,"$747,129 ",-,117,2,"$6,386 ","$6,073,058 ",-,7,2018,1,0
19,16,The Disaster Artist,A24,"$746,034 ",-20.00%,478,-29,"$1,561 ","$19,431,782 ",-,6,2018,1,0
20,21,"Three Billboards Outside Ebbing, Missouri",FoxS,"$705,188 ",4.40%,310,44,"$2,275 ","$25,392,902 ",-,9,2018,1,0
21,15,Justice League,WB,"$556,851 ",-53.50%,518,-697,"$1,075 ","$227,032,490 ",-,8,2018,1,0
22,19,Thor: Ragnarok,BV,"$514,940 ",-39.80%,325,-215,"$1,584 ","$312,459,726 ",$180 ,10,2018,1,0
23,17,Daddy's Home 2,Par.,"$473,493 ",-48.60%,429,-341,"$1,104 ","$102,934,995 ",$69 ,9,2018,1,0
24,23,Murder on the Orient Express (2017),Fox,"$450,509 ",-26.90%,314,-77,"$1,435 ","$101,555,644 ",$55 ,9,2018,1,0
25,18,Tiger Zinda Hai,Yash,"$367,679 ",-60.10%,166,-118,"$2,215 ","$5,560,921 ",$20.47 ,3,2018,1,0
26,28,Along with the Gods: The Two Worlds,WGUSA,"$277,065 ",43.30%,35,18,"$7,916 ","$1,118,190 ",-,3,2018,1,0
27,39,Hostiles,ENTMP,"$268,373 ",702.20%,46,41,"$5,834 ","$393,565 ",-,3,2018,1,0
28,26,Phantom Thread,Focus,"$240,240 ",11.00%,6,2,"$40,040 ","$947,190 ",-,2,2018,1,0
29,30,Ex-File 3 (Qian Ren 3),CL,"$177,110 ",41.40%,17,-4,"$10,418 ","$518,184 ",-,2,2018,1,0
30,25,The Star,Sony,"$140,805 ",-71.00%,268,-393,$525 ,"$40,448,404 ",$20 ,8,2018,1,0
31,35,Blade Runner 2049,WB,"$100,018 ",113.50%,133,58,$752 ,"$91,800,042 ",$150 ,14,2018,1,0
32,29,A Bad Moms Christmas,STX,"$81,907 ",-48.20%,144,-70,$569 ,"$72,080,547 ",$28 ,10,2018,1,0
33,27,Youth (2017),CL,"$80,501 ",-59.60%,30,-5,"$2,683 ","$1,814,247 ",-,4,2018,1,0
35,31,Loving Vincent,Good Deed,"$72,135 ",5.50%,58,3,"$1,244 ","$6,388,510 ",-,16,2018,1,0
36,34,The Florida Project,A24,"$63,094 ",25.20%,37,4,"$1,705 ","$5,412,776 ",-,14,2018,1,0
37,33,Geostorm,WB,"$52,219 ",-5.80%,93,-17,$561 ,"$33,681,965 ",$120 ,12,2018,1,0
39,36,Only The Brave,Sony,"$37,116 ",-12.40%,69,-17,$538 ,"$18,255,680 ",$38 ,12,2018,1,0
40,41,The Square,Magn.,"$32,634 ",47.60%,25,10,"$1,305 ","$1,284,672 ",-,11,2018,1,0
41,48,"Roman J. Israel, Esq.",Sony,"$27,636 ",140.10%,80,47,$345 ,"$11,887,893 ",$22 ,8,2018,1,0
42,40,Jane (2017),Abr.,"$25,151 ",-6.00%,19,-2,"$1,324 ","$1,544,602 ",-,12,2018,1,0
43,54,A Beautiful Planet,IMAX,"$24,499 ",261.10%,9,2,"$2,722 ","$12,952,818 ",-,89,2018,1,0
44,38,Film Stars Don't Die in Liverpool,SPC,"$22,866 ",-33.80%,4,-,"$5,717 ","$82,300 ",-,2,2018,1,0
45,32,The Man Who Invented Christmas,BST,"$21,255 ",-68.40%,70,-76,$304 ,"$5,652,907 ",-,7,2018,1,0
46,37,Wonder Wheel,Amazon,"$20,871 ",-42.90%,29,-26,$720 ,"$1,363,787 ",-,6,2018,1,0
47,46,Faces Places,Cohen,"$20,160 ",74.20%,13,5,"$1,551 ","$640,750 ",-,14,2018,1,0
49,43,The Other Side of Hope,Jan.,"$14,076 ",-,7,1,"$2,011 ","$163,529 ",-,6,2018,1,0
50,44,Happy End,SPC,"$13,699 ",-0.70%,6,3,"$2,283 ","$83,292 ",-,3,2018,1,0
51,51,In the Fade,Magn.,"$12,764 ",22.10%,6,3,"$2,127 ","$36,522 ",-,2,2018,1,0
54,55,Island of Lemurs: Madagascar (IMAX),WB,"$9,491 ",39.90%,2,-,"$4,746 ","$11,085,909 ",-,197,2018,1,0
56,60,The Breadwinner,GK,"$7,747 ",111.60%,10,-,$775 ,"$233,919 ",-,8,2018,1,0
57,52,Big Sonia,Argo.,"$7,017 ",-28.80%,1,-,"$7,017 ","$129,869 ",-,8,2018,1,0
58,47,Same Kind of Different as Me,PFR,"$6,368 ",-44.80%,20,-20,$318 ,"$6,410,279 ",-,12,2018,1,0
59,62,My Friend Dahmer,FR,"$6,186 ",82.70%,2,-,"$3,093 ","$1,310,242 ",-,10,2018,1,0
61,42,Just Getting Started,BG,"$5,699 ",-62.70%,5,-10,"$1,140 ","$6,058,383 ",$22 ,5,2018,1,0
62,50,Marshall,ORF,"$5,470 ",-48.40%,41,-9,$133 ,"$9,480,742 ",$12 ,13,2018,1,0
63,59,Under the Sea 3D,WB,"$5,321 ",0.80%,2,-1,"$2,661 ","$35,689,488 ",-,465,2018,1,0
65,69,Thelma,Orch.,"$4,127 ",194.20%,8,2,$516 ,"$137,420 ",-,9,2018,1,0
66,57,1945,Men.,"$3,832 ",-35.20%,4,-5,$958 ,"$258,392 ",-,10,2018,1,0
67,56,Hubble 3D,WB,"$3,553 ",-45.50%,1,-,"$3,553 ","$51,984,404 ",-,408,2018,1,0
70,63,Quest (2017),FRun,"$3,065 ",9.30%,2,-,"$1,533 ","$41,271 ",-,6,2018,1,0
71,65,God's Own Country,Orion,"$2,362 ",-8.70%,3,-1,$787 ,"$319,787 ",-,11,2018,1,0
73,68,Novitiate,SPC,"$1,859 ",2.40%,5,-1,$372 ,"$570,409 ",-,11,2018,1,0
74,67,The Lucky Man,Indic.,"$1,644 ",-27.10%,2,-,$822 ,"$12,619 ",-,-42,2018,1,0
79,73,The Fencer,CFI,$968 ,211.30%,2,1,$484 ,"$95,339 ",-,25,2018,1,0
80,71,Permanent,Magn.,$690 ,-33.10%,3,-,$230 ,"$12,777 ",-,4,2018,1,0
81,74,The Paris Opera,FM,$652 ,624.40%,1,-,$652 ,"$53,468 ",-,12,2018,1,0
87,70,On the Beach at Night Alone,CGld,$228 ,-82.70%,2,-,$114 ,"$31,448 ",-,8,2018,1,0
88,66,Let there be Light,ADC,$68 ,-97.20%,2,-6,$34 ,"$7,210,748 ",-,11,2018,1,0
