TW,LW,Title,Studio,Weekend Gross,% Change,Theater Count,Change,Average,Total Gross,Budget*,Week #,ith year,ith week
1,2,Jumanji: Welcome to the Jungle,Sony,"$37,233,653 ",-25.60%,3801,36,"$9,796 ","$245,606,319 ",$90 ,3,2018,1
2,N,Insidious: The Last Key,Uni.,"$29,581,355 ",-,3116,-,"$9,493 ","$29,581,355 ",$10 ,1,2018,1
3,1,Star Wars: The Last Jedi,BV,"$23,728,944 ",-54.80%,4232,-,"$5,607 ","$572,691,546 ",$317 ,4,2018,1
4,4,The Greatest Showman,Fox,"$13,770,951 ",-11.30%,3342,26,"$4,121 ","$76,875,323 ",$84 ,3,2018,1
5,3,Pitch Perfect 3,Uni.,"$10,298,345 ",-38.70%,3458,-10,"$2,978 ","$86,055,435 ",$45 ,3,2018,1
6,5,Ferdinand,Fox,"$7,697,773 ",-32.40%,3156,-181,"$2,439 ","$70,466,891 ",$111 ,4,2018,1
7,13,Molly's Game,STX,"$6,856,578 ",191.80%,1608,"1,337","$4,264 ","$14,073,138 ",-,2,2018,1
8,8,Darkest Hour,Focus,"$6,050,225 ",10.30%,1733,790,"$3,491 ","$28,086,332 ",-,7,2018,1
9,6,Coco,BV,"$5,382,651 ",-27.90%,1894,-210,"$2,842 ","$191,925,612 ",-,7,2018,1
10,7,All the Money in the World,TriS,"$3,571,226 ",-36.10%,2123,49,"$1,682 ","$20,153,135 ",-,2,2018,1
1,1,Jumanji: Welcome to the Jungle,Sony,"$28,101,972 ",-24.50%,3849,48,"$7,301 ","$284,237,881 ",$90 ,4,2018,2
2,15,The Post,Fox,"$19,361,968 ",1040.30%,2819,"2,783","$6,868 ","$23,851,205 ",$50 ,4,2018,2
3,N,The Commuter,LGF,"$13,701,452 ",-,2892,-,"$4,738 ","$13,701,452 ",-,1,2018,2
4,4,The Greatest Showman,Fox,"$12,467,471 ",-9.50%,2938,-404,"$4,244 ","$95,221,339 ",$84 ,4,2018,2
5,2,Insidious: The Last Key,Uni.,"$12,419,715 ",-58.00%,3150,34,"$3,943 ","$48,660,855 ",$10 ,2,2018,2
6,3,Star Wars: The Last Jedi,BV,"$11,854,481 ",-50.00%,3090,-1142,"$3,836 ","$592,129,065 ",$317 ,5,2018,2
7,N,Paddington 2,WB,"$11,001,961 ",-,3702,-,"$2,972 ","$11,001,961 ",-,1,2018,2
8,N,Proud Mary,SGem,"$9,959,053 ",-,2125,-,"$4,687 ","$9,959,053 ",$14 ,1,2018,2
