Year,week,Weekend,Top 10 Gross,%± LY,Overall Gross,%± LY.1,Releases,#1 Release
2019,1,Jan 4-6,"$119,007,739 ",-17.50%,"$138,872,261 ",-16.10%,89,Aquaman
2018,1,Jan 5-7,"$144,171,701 ",19.70%,"$165,531,482 ",20.50%,89,Jumanji: Welcome to the Jungle
2017,1,Jan 6-8,"$120,491,633 ",-39.30%,"$137,405,045 ",-37.40%,88,Hidden Figures
2016,1,Jan 1-3,"$198,537,624 ",57.80%,"$219,510,014 ",41.50%,82,Star Wars: Episode VII - The Force Awakens
2015,1,Jan 2-4,"$125,851,864 ",5.80%,"$155,083,722 ",9.80%,89,The Hobbit: The Battle of the Five Armies
2014,1,Jan 3-5,"$118,936,215 ",2.10%,"$141,235,662 ",-4.30%,82,Frozen
2013,1,Jan 4-6,"$116,465,689 ",-3.30%,"$147,632,550 ",5.90%,96,Texas Chainsaw 3D
2012,1,Jan 6-8,"$120,467,366 ",34.70%,"$139,471,507 ",24.20%,93,The Devil Inside
2011,1,Jan 7-9,"$89,402,192 ",-56.20%,"$112,291,954 ",-49%,99,True Grit
2010,1,Jan 1-3,"$204,295,752 ",65.80%,"$220,307,116 ",43.60%,80,Avatar
2009,1,Jan 2-4,"$123,210,617 ",9.50%,"$153,373,765 ",9.70%,89,Marley & Me
2008,1,Jan 4-6,"$112,470,805 ",17.80%,"$139,793,714 ",5.30%,89,National Treasure: Book of Secrets
2019,2,Jan 11-13,"$96,775,974 ",-25.20%,"$119,640,159 ",-24.80%,86,The Upside
2018,2,Jan 12-15MLK wknd,"$158,634,790 ",7.40%,"$195,812,771 ",5.70%,76,Jumanji: Welcome to the Jungle
2018,2,Jan 12-14,"$129,325,213 ",8.60%,"$159,135,848 ",6.50%,95,Jumanji: Welcome to the Jungle
2017,2,Jan 13-16MLK wknd,"$147,714,852 ",-,"$185,210,740 ",-,66,Hidden Figures
2017,2,Jan 13-15,"$119,057,524 ",-16.70%,"$149,365,311 ",-6.30%,80,Hidden Figures
2016,2,Jan 8-10,"$142,912,699 ",36.50%,"$159,323,600 ",26.20%,91,Star Wars: Episode VII - The Force Awakens
2015,2,Jan 9-11,"$104,708,370 ",-6.90%,"$126,281,581 ",-10.20%,87,Taken 3
2014,2,Jan 10-12,"$112,448,084 ",0.20%,"$140,678,920 ",-,90,Lone Survivor
2013,2,Jan 11-13,"$112,186,149 ",6.20%,"$140,670,134 ",6.40%,95,Zero Dark Thirty
2012,2,Jan 13-16MLK wknd,"$128,967,569 ",-1.10%,"$162,923,701 ",2.50%,74,Contraband
2012,2,Jan 13-15,"$105,673,270 ",-2%,"$132,235,551 ",1.50%,103,Contraband
2011,2,Jan 14-16,"$107,824,706 ",-25.70%,"$130,305,168 ",-18.70%,106,The Green Hornet
2011,2,Jan 14-17MLK wknd,"$130,346,506 ",-,"$158,959,357 ",-,86,The Green Hornet
2010,2,Jan 8-10,"$145,045,666 ",19.30%,"$160,275,182 ",9.40%,86,Avatar
2009,2,Jan 9-11,"$121,541,116 ",23%,"$146,505,600 ",12.30%,92,Gran Torino
2008,2,Jan 11-13,"$98,786,197 ",9.20%,"$130,426,078 ",2%,98,The Bucket List
2019,3,Jan 18-21MLK wknd,"$134,433,589 ",-,"$162,367,073 ",-,69,Glass
2019,3,Jan 18-20,"$109,523,159 ",5.10%,"$129,779,595 ",-4.30%,78,Glass
2018,3,Jan 19-21,"$104,176,178 ",-13.30%,"$135,628,208 ",-6.50%,103,Jumanji: Welcome to the Jungle
2017,3,Jan 20-22,"$120,214,041 ",-17.40%,"$145,007,859 ",-12.60%,89,Split
2016,3,Jan 15-17,"$145,502,232 ",-18.70%,"$166,004,623 ",-18.30%,86,Ride Along 2
2016,3,Jan 15-18MLK wknd,"$175,297,289 ",-20.60%,"$200,759,295 ",-20%,57,Ride Along 2
2015,3,Jan 16-19MLK wknd,"$220,660,699 ",24.40%,"$250,809,036 ",17.60%,71,American Sniper
2015,3,Jan 16-18,"$178,963,570 ",21.90%,"$203,241,390 ",15.20%,87,American Sniper
2014,3,Jan 17-20MLK wknd,"$177,312,805 ",41.10%,"$213,241,808 ",29%,68,Ride Along
2014,3,Jan 17-19,"$146,864,924 ",36.30%,"$176,376,093 ",26.20%,88,Ride Along
2013,3,Jan 18-21MLK wknd,"$125,704,597 ",-,"$165,335,690 ",-,68,Mama
2013,3,Jan 18-20,"$107,738,398 ",4.50%,"$139,772,817 ",4.70%,92,Mama
2012,3,Jan 20-22,"$103,050,329 ",23.50%,"$133,441,542 ",29.90%,107,Underworld Awakening
2011,3,Jan 21-23,"$83,445,232 ",-43.90%,"$102,730,950 ",-39.60%,105,No Strings Attached
2010,3,Jan 15-18MLK wknd,"$183,162,436 ",-0.80%,"$209,509,035 ",-9.40%,83,Avatar
2010,3,Jan 15-17,"$148,859,116 ",-3.60%,"$170,071,252 ",-11.80%,96,Avatar
2009,3,Jan 16-19MLK wknd,"$184,673,846 ",21.90%,"$231,208,273 ",23.60%,85,Paul Blart: Mall Cop
2009,3,Jan 16-18,"$154,456,350 ",22%,"$192,904,086 ",24.70%,90,Paul Blart: Mall Cop
2008,3,Jan 18-20,"$126,624,750 ",88.80%,"$154,669,517 ",54.60%,101,Cloverfield
2008,3,Jan 18-21MLK wknd,"$151,470,763 ",-,"$187,094,009 ",-,95,Cloverfield
2019,4,Jan 25-27,"$73,819,238 ",-28%,"$103,503,701 ",-27.60%,82,Glass
2018,4,Jan 26-28,"$102,483,376 ",-8.20%,"$142,985,855 ",0.70%,104,Maze Runner: The Death Cure
2017,4,Jan 27-29,"$111,650,133 ",16.60%,"$141,980,332 ",25%,85,Split
2016,4,Jan 22-24,"$95,736,903 ",-29.90%,"$113,596,503 ",-28.80%,87,The Revenant
2015,4,Jan 23-25,"$136,480,820 ",46%,"$159,469,503 ",35%,93,American Sniper
2014,4,Jan 24-26,"$93,470,822 ",15.10%,"$118,158,602 ",5.30%,97,Ride Along
2013,4,Jan 25-27,"$81,203,152 ",-11.10%,"$112,228,923 ",-11.20%,91,Hansel & Gretel: Witch Hunters
2012,4,Jan 27-29,"$91,306,608 ",4.60%,"$126,328,423 ",15.70%,111,The Grey
2011,4,Jan 28-30,"$87,300,754 ",-27.30%,"$109,215,038 ",-24.40%,104,The Rite
2010,4,Jan 22-24,"$120,045,516 ",1.20%,"$144,384,498 ",-9.90%,93,Avatar
2009,4,Jan 23-25,"$118,605,040 ",8.60%,"$160,294,864 ",11.20%,91,Paul Blart: Mall Cop
2008,4,Jan 25-27,"$109,183,558 ",32.70%,"$144,150,492 ",21.40%,108,Meet the Spartans
2019,5,Feb 1-3,"$52,087,190 ",-20.70%,"$73,462,968 ",-22.70%,85,Glass
2018,5,Feb 2-4,"$65,718,354 ",-13.10%,"$94,988,230 ",-4.30%,102,Jumanji: Welcome to the Jungle
2017,5,Feb 3-5,"$75,662,315 ",-36.10%,"$99,239,960 ",-28.70%,97,Split
2016,5,Jan 29-31,"$118,353,833 ",47.80%,"$139,252,676 ",36.10%,99,Kung Fu Panda 3
2015,5,Jan 30-Feb 1,"$80,089,127 ",21.60%,"$102,289,935 ",18.80%,95,American Sniper
2014,5,Jan 31-Feb 2,"$65,887,288 ",1.40%,"$86,093,764 ",-2.90%,95,Ride Along
2013,5,Feb 1-3,"$64,959,191 ",-26.30%,"$88,701,777 ",-23.40%,98,Warm Bodies
2012,5,Feb 3-5,"$88,088,338 ",28.90%,"$115,729,538 ",32.60%,105,Chronicle
2011,5,Feb 4-6,"$68,315,090 ",-34.30%,"$87,257,927 ",-30.40%,114,The Roommate
2010,5,Jan 29-31,"$103,970,747 ",8.40%,"$125,460,594 ",-1.10%,93,Avatar
2009,5,Jan 30-Feb 1,"$95,933,299 ",1.10%,"$126,798,123 ",-1.50%,93,Taken
2008,5,Feb 1-3,"$94,843,468 ",43.30%,"$128,681,821 ",39.10%,107,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert
2019,6,Feb 8-10,"$95,027,517 ",-16.50%,"$115,811,896 ",-18.10%,93,The Lego Movie 2: The Second Part
2018,6,Feb 9-11,"$113,834,248 ",-33.50%,"$141,457,633 ",-25%,105,Fifty Shades Freed
2017,6,Feb 10-12,"$171,094,497 ",126.90%,"$188,591,354 ",97.50%,87,The Lego Batman Movie
2016,6,Feb 5-7,"$75,395,999 ",-43.20%,"$95,508,876 ",-37.20%,100,Kung Fu Panda 3
2015,6,Feb 6-8,"$132,753,774 ",-,"$152,017,118 ",-0.60%,95,The SpongeBob Movie: Sponge Out of Water
2014,6,Feb 7-9,"$132,710,403 ",61.10%,"$152,984,502 ",46.80%,109,The Lego Movie
2013,6,Feb 8-10,"$82,382,252 ",-51%,"$104,216,107 ",-45.70%,101,Identity Thief
2012,6,Feb 10-12,"$168,289,222 ",31.10%,"$191,893,008 ",28.40%,111,The Vow
2011,6,Feb 11-13,"$128,358,223 ",35.40%,"$149,414,721 ",31.10%,113,Just Go with It
2010,6,Feb 5-7,"$94,786,281 ",-23.60%,"$113,987,051 ",-26.30%,100,Dear John
2009,6,Feb 6-8,"$124,041,046 ",48.60%,"$154,595,414 ",37.70%,93,He's Just Not That Into You
2008,6,Feb 8-10,"$83,480,396 ",-4.30%,"$112,262,045 ",-0.20%,107,Fool's Gold
