Year,week,Weekend,Top 10 Gross,%± LY,Overall Gross,%± LY.1,Releases,#1 Release
2019,1,Jan 4-6,"$119,007,739",-17.5%,"$138,872,261",-16.1%,89,Aquaman
2018,1,Jan 5-7,"$144,171,701",+19.7%,"$165,531,482",+20.5%,89,Jumanji: Welcome to the Jungle
2017,1,Jan 6-8,"$120,491,633",-39.3%,"$137,405,045",-37.4%,88,Hidden Figures
2016,1,Jan 1-3,"$198,537,624",+57.8%,"$219,510,014",+41.5%,82,Star Wars: Episode VII - The Force Awakens
2015,1,Jan 2-4,"$125,851,864",+5.8%,"$155,083,722",+9.8%,89,The Hobbit: The Battle of the Five Armies
2014,1,Jan 3-5,"$118,936,215",+2.1%,"$141,235,662",-4.3%,82,Frozen
2013,1,Jan 4-6,"$116,465,689",-3.3%,"$147,632,550",+5.9%,96,Texas Chainsaw 3D
2012,1,Jan 6-8,"$120,467,366",+34.7%,"$139,471,507",+24.2%,93,The Devil Inside
2011,1,Jan 7-9,"$89,402,192",-56.2%,"$112,291,954",-49%,99,True Grit
2010,1,Jan 1-3,"$204,295,752",+65.8%,"$220,307,116",+43.6%,80,Avatar
2009,1,Jan 2-4,"$123,210,617",+9.5%,"$153,373,765",+9.7%,89,Marley & Me
2008,1,Jan 4-6,"$112,470,805",+17.8%,"$139,793,714",+5.3%,89,National Treasure: Book of Secrets
2007,1,Jan 5-7,"$95,437,440",-2.5%,"$132,739,670",+3.7%,102,Night at the Museum
2006,1,Jan 6-8,"$97,887,282",+4.8%,"$128,035,945",+7.6%,94,Hostel
2005,1,Jan 7-9,"$93,376,849",-18.8%,"$118,992,431",-16.3%,108,Meet the Fockers
2004,1,Jan 2-4,"$114,997,701",+12.1%,"$142,178,745",+9.2%,112,The Lord of the Rings: The Return of the King
2003,1,Jan 3-5,"$102,574,723",+4.4%,"$130,224,669",+4%,123,The Lord of the Rings: The Two Towers
2002,1,Jan 4-6,"$98,217,854",-1.2%,"$125,252,853",+3.7%,62,The Lord of the Rings: The Fellowship of the Ring
2001,1,Jan 5-7,"$99,460,710",+34.1%,"$120,826,306",+20.5%,63,Cast Away
2000,1,Jan 7-9,"$74,169,526",-22.9%,"$100,279,368",-14.9%,60,Stuart Little
1999,1,Jan 1-3,"$96,199,635",-3.5%,"$117,831,102",-0.5%,62,Patch Adams
1998,1,Jan 2-4,"$99,724,650",+42%,"$118,464,927",+32.8%,23,Titanic
