Dates,Year,Week,Top 10 Gross,%¡À LW,Overall Gross,%¡À LW.1,Releases,#1 Release,link
Oct 25-27,2019,43,"$89,886,989 ",-30.80%,"$101,696,881 ",-26.20%,52,Joker,/weekend/2019W43/?ref_=bo_wey_table_1
Oct 18-20,2019,42,"$129,825,817 ",-2.30%,"$137,773,594 ",-2.50%,108,Maleficent: Mistress of Evil,/weekend/2019W42/?ref_=bo_wey_table_2
Oct 11-14Columbus Day wknd,2019,41,"$152,832,766 ",-20.90%,"$161,043,554 ",-20.90%,59,Joker,/weekend/2019W41/occasion/us_columbusday_weekend/?ref_=bo_wey_table_4
Oct 4-6,2019,40,"$142,713,298 ",71.20%,"$150,554,448 ",59.30%,107,Joker,/weekend/2019W40/?ref_=bo_wey_table_5
Sep 27-29,2019,39,"$83,354,126 ",-26.50%,"$94,527,125 ",-23.40%,111,Abominable,/weekend/2019W39/?ref_=bo_wey_table_6
Sep 20-22,2019,38,"$113,373,910 ",16.80%,"$123,431,530 ",11.40%,106,Downton Abbey,/weekend/2019W38/?ref_=bo_wey_table_7
Sep 13-15,2019,37,"$97,031,904 ",-21.40%,"$110,793,852 ",-20%,106,It Chapter Two,/weekend/2019W37/?ref_=bo_wey_table_8
Sep 6-8,2019,36,"$123,496,912 ",93.20%,"$138,423,528 ",51%,92,It Chapter Two,/weekend/2019W36/?ref_=bo_wey_table_9
Aug 30-Sep 2Labor Day wknd,2019,35,"$84,263,777 ",-12.50%,"$120,764,143 ",-6.60%,82,Angel Has Fallen,/weekend/2019W35/occasion/us_laborday_weekend/?ref_=bo_wey_table_11
Aug 23-25,2019,34,"$87,899,112 ",-13.70%,"$108,764,687 ",-9.60%,98,Angel Has Fallen,/weekend/2019W34/?ref_=bo_wey_table_12
Aug 16-18,2019,33,"$101,857,634 ",-16%,"$120,307,107 ",-8.90%,101,Good Boys,/weekend/2019W33/?ref_=bo_wey_table_13
Aug 9-11,2019,32,"$121,235,199 ",-15.70%,"$132,104,260 ",-11.30%,92,Fast & Furious Presents: Hobbs & Shaw,/weekend/2019W32/?ref_=bo_wey_table_14
Aug 2-4,2019,31,"$143,893,312 ",-7.50%,"$148,998,871 ",-8.50%,97,Fast & Furious Presents: Hobbs & Shaw,/weekend/2019W31/?ref_=bo_wey_table_15
