Dates,year,Week,Top 10 Gross,%± LW,Overall Gross,%± LW.1,Releases,#1 Release
Oct 18-20,2019,42,"$129,825,817",-2.3%,"$137,773,594",-2.5%,108,Maleficent: Mistress of Evil
Oct 11-14Columbus Day wknd,2019,41,"$152,832,766",-20.9%,"$161,043,554",-20.9%,59,Joker
Oct 11-13,2019,41,"$132,906,213",-6.9%,"$141,301,420",-6.1%,100,Joker
Oct 4-6,2019,40,"$142,713,298",+71.2%,"$150,554,448",+59.3%,107,Joker
Sep 27-29,2019,39,"$83,354,126",-26.5%,"$94,527,125",-23.4%,111,Abominable
Sep 20-22,2019,38,"$113,373,910",+16.8%,"$123,431,530",+11.4%,106,Downton Abbey
Sep 13-15,2019,37,"$97,031,904",-21.4%,"$110,793,852",-20%,106,It Chapter Two
Sep 6-8,2019,36,"$123,496,912",+93.2%,"$138,423,528",+51%,92,It Chapter Two
Aug 30-Sep 2Labor Day wknd,2019,35,"$84,263,777",-12.5%,"$120,764,143",-6.6%,82,Angel Has Fallen
Aug 30-Sep 1,2019,35,"$63,928,598",-27.3%,"$91,695,023",-15.7%,99,Angel Has Fallen
Aug 23-25,2019,34,"$87,899,112",-13.7%,"$108,764,687",-9.6%,98,Angel Has Fallen
Aug 16-18,2019,33,"$101,857,634",-16%,"$120,307,107",-8.9%,101,Good Boys
Aug 9-11,2019,32,"$121,235,199",-15.7%,"$132,104,260",-11.3%,92,Fast & Furious Presents: Hobbs & Shaw
Aug 2-4,2019,31,"$143,893,312",-7.5%,"$148,998,871",-8.5%,97,Fast & Furious Presents: Hobbs & Shaw
Jul 26-28,2019,30,"$155,622,904",-38.6%,"$162,868,015",-38.3%,97,The Lion King
Jul 19-21,2019,29,"$253,574,574",+122.2%,"$263,882,516",+107.9%,102,The Lion King
Jul 12-14,2019,28,"$114,124,922",-34.5%,"$126,932,873",-30.9%,103,Spider-Man: Far from Home
Jul 5-7,2019,27,"$174,209,668",+25.5%,"$183,814,074",+21.1%,96,Spider-Man: Far from Home
Jun 28-30,2019,26,"$138,825,078",-26.9%,"$151,841,304",-25.5%,96,Toy Story 4
Jun 21-23,2019,25,"$189,899,923",+53.6%,"$203,833,169",+50%,102,Toy Story 4
Jun 14-16,2019,24,"$123,601,448",-21.9%,"$135,914,033",-18%,100,Men in Black: International
Jun 7-9,2019,23,"$158,327,825",-5.5%,"$165,733,750",-4.8%,101,The Secret Life of Pets 2
May 31-Jun 2,2019,22,"$167,597,113",-3.2%,"$174,090,953",-3.9%,106,Godzilla: King of the Monsters
May 24-26,2019,21,"$173,109,025",+23.7%,"$181,249,523",+22.2%,106,Aladdin
May 24-27Memorial Day wknd,2019,21,"$220,383,863",+1%,"$230,819,376",+1.7%,97,Aladdin
May 17-19,2019,20,"$139,901,024",-12.7%,"$148,365,208",-11.8%,115,John Wick: Chapter 3 - Parabellum
May 10-12,2019,19,"$160,271,263",-17.3%,"$168,253,370",-15.8%,113,Avengers: Endgame
May 3-5,2019,18,"$193,910,218",-51.1%,"$199,858,498",-50.3%,113,Avengers: Endgame
Apr 26-28,2019,17,"$396,469,872",+316.1%,"$402,087,399",+268.2%,114,Avengers: Endgame
Apr 19-22Easter wknd,2019,16,"$106,099,675",-18.9%,"$121,560,823",-21.5%,74,The Curse of La Llorona
Apr 19-21,2019,16,"$95,280,443",-5.1%,"$109,193,341",-1.8%,122,The Curse of La Llorona
Apr 12-14,2019,15,"$100,437,182",-27.2%,"$111,173,940",-24.3%,119,Shazam!
Apr 5-7,2019,14,"$137,908,217",+6.5%,"$146,937,939",+6.6%,117,Shazam!
Mar 29-31,2019,13,"$129,484,146",-7%,"$137,830,324",-7.4%,120,Dumbo
Mar 22-24,2019,12,"$139,284,316",+10.2%,"$148,803,456",+6.4%,117,Us
Mar 15-17,2019,11,"$126,418,468",-36.2%,"$139,804,590",-33.6%,122,Captain Marvel
Mar 8-10,2019,10,"$198,063,125",+109.9%,"$210,564,349",+81.6%,107,Captain Marvel
Mar 1-3,2019,9,"$94,364,496",-14.7%,"$115,975,923",-9.4%,114,How to Train Your Dragon: The Hidden World
Feb 22-24,2019,8,"$110,669,509",+5.2%,"$127,999,939",+1.4%,88,How to Train Your Dragon: The Hidden World
Feb 15-18Presidents' Day wknd,2019,7,"$126,415,385",-60.9%,"$152,447,001",-55.9%,86,Alita: Battle Angel
Feb 15-17,2019,7,"$105,197,571",+10.7%,"$126,265,201",+9%,102,Alita: Battle Angel
Feb 8-10,2019,6,"$95,027,517",+82.4%,"$115,811,896",+57.6%,93,The Lego Movie 2: The Second Part
Feb 1-3,2019,5,"$52,087,190",-29.4%,"$73,462,968",-29%,85,Glass
Jan 25-27,2019,4,"$73,819,238",-32.6%,"$103,503,701",-20.2%,82,Glass
Jan 18-21MLK wknd,2019,3,"$134,433,589",-15.3%,"$162,367,073",-17.1%,69,Glass
Jan 18-20,2019,3,"$109,523,159",+13.2%,"$129,779,595",+8.5%,78,Glass
Jan 11-13,2019,2,"$96,775,974",-18.7%,"$119,640,159",-13.8%,86,The Upside
Jan 4-6,2019,1,"$119,007,739",-28.2%,"$138,872,261",-26.2%,89,Aquaman
"Dec 28-Jan 1, 2019New Year's long wknd",2018,52,"$254,547,234",+12.6%,"$288,846,349",+14%,53,Aquaman
Dec 28-30,2018,52,"$165,718,403",+1.5%,"$188,210,389",+5.5%,78,Aquaman
Dec 21-25Christmas long wknd,2018,51,"$260,363,074",+10.1%,"$291,020,519",+12.1%,60,Aquaman
Dec 21-23,2018,51,"$163,297,800",+60.7%,"$178,360,577",+48.1%,76,Aquaman
Dec 14-16,2018,50,"$101,640,559",+37.6%,"$120,463,418",+40.4%,100,Spider-Man: Into the Spider-Verse
Dec 7-9,2018,49,"$73,877,715",-30.4%,"$85,822,147",-28.3%,100,Ralph Breaks the Internet
Nov 30-Dec 2,2018,48,"$106,190,738",-47.9%,"$119,701,329",-44.7%,104,Ralph Breaks the Internet
Nov 23-25,2018,47,"$203,836,618",+26.3%,"$216,475,781",+23.9%,99,Ralph Breaks the Internet
Nov 22-25Thanksgiving 4-Day,2018,46,"$243,903,928",+14.8%,"$257,931,535",+15.7%,64,Ralph Breaks the Internet
Nov 21-25Thanksgiving 5-Day,2018,46,"$298,630,062",+16.9%,"$314,861,631",+17.7%,64,Ralph Breaks the Internet
Nov 16-18,2018,46,"$161,437,498",+5.8%,"$174,705,199",+3.8%,107,Fantastic Beasts: The Crimes of Grindelwald
Nov 9-11,2018,45,"$152,580,543",+17.9%,"$168,344,121",+15.4%,113,The Grinch
Nov 2-4,2018,44,"$129,384,786",+42.2%,"$145,822,119",+38%,119,Bohemian Rhapsody
Oct 26-28,2018,43,"$90,992,092",-41.7%,"$105,667,363",-36.4%,119,Halloween
Oct 19-21,2018,42,"$155,990,869",+23.7%,"$166,083,062",+21.5%,111,Halloween
Oct 12-14,2018,41,"$126,136,778",-25.4%,"$136,738,283",-23.6%,126,Venom
Oct 5-8Columbus Day wknd,2018,40,"$193,103,101",+72.2%,"$203,648,461",+68.2%,74,Venom
Oct 5-7,2018,40,"$168,979,851",+83.4%,"$178,863,365",+68%,122,Venom
Sep 28-30,2018,39,"$92,141,186",+17.7%,"$106,442,479",+15.3%,130,Night School
